person_id,day,phase,prior_aff,n_today,detected_next,n_detections_next,n_eligible_next,n_pro_next
P01,2026-06-16,P1,0.6050835167811628,12,1,189,7,7
P01,2026-06-17,P1,0.5792289673063786,7,1,48,6,6
P01,2026-06-18,P1,0.6523139641454114,6,1,459,8,8
P01,2026-06-22,P2,0.5277655693157951,10,1,104,3,3
P01,2026-06-23,P2,0.40424402669796056,3,1,15,2,2
P01,2026-06-25,P2,0.40424402669796056,2,1,1257,6,6
P01,2026-06-29,P2,0.6173323131425948,7,1,1,1,1
P02,2026-06-16,P1,0.11171714575141234,3,0,0,0,0
P02,2026-06-17,P1,0.11171714575141234,0,0,0,0,0
P02,2026-06-18,P1,0.11171714575141234,0,0,0,0,0
P02,2026-06-22,P2,0.11171714575141234,0,0,0,0,0
P02,2026-06-23,P2,0.11171714575141234,0,1,1,1,1
P02,2026-06-25,P2,0.0923456623085135,1,1,5,2,2
P02,2026-06-29,P2,0.3061320656340578,2,1,1,1,1
P05,2026-06-16,P1,0.08286182281573598,1,0,0,0,0
P05,2026-06-17,P1,0.08286182281573598,0,1,16,1,1
P05,2026-06-18,P1,0.054736498934824976,1,0,0,0,0
P05,2026-06-22,P2,0.054736498934824976,0,0,0,0,0
P05,2026-06-23,P2,0.054736498934824976,0,0,0,0,0
P05,2026-06-25,P2,0.054736498934824976,0,0,0,0,0
P05,2026-06-29,P2,0.054736498934824976,0,0,0,0,0
P06,2026-06-16,P1,0.8647462635583401,3,1,12,6,6
P06,2026-06-17,P1,0.8765734839296684,6,1,6,2,2
P06,2026-06-18,P1,0.7296173781051996,3,1,4,4,4
P06,2026-06-22,P2,0.885932331388131,4,1,2,2,2
P06,2026-06-23,P2,0.9298749680078975,2,0,0,0,0
P06,2026-06-25,P2,0.9298749680078975,0,0,0,0,0
P06,2026-06-29,P2,0.9298749680078975,0,1,5,0,0
P03,2026-06-16,P1,-0.008396901574399892,2,1,19,1,1
P03,2026-06-17,P1,-0.011035504808028706,2,1,1,1,1
P03,2026-06-18,P1,-0.011035504808028706,1,1,51,2,2
P03,2026-06-22,P2,0.1555975808277709,2,1,1,1,1
P03,2026-06-23,P2,0.11723441266789839,1,0,0,0,0
P03,2026-06-25,P2,0.11723441266789839,0,1,2,2,2
P03,2026-06-29,P2,0.08242482350260937,2,1,31,2,2
P08,2026-06-16,P1,0.0,0,1,4,1,1
P08,2026-06-17,P1,-0.008209255377450831,1,0,0,0,0
P08,2026-06-18,P1,-0.008209255377450831,0,1,9,2,2
P08,2026-06-22,P2,0.2383496717641757,2,1,7,4,4
P08,2026-06-23,P2,0.7169783096553412,5,1,3,3,3
P08,2026-06-25,P2,0.7603537196547636,3,1,1,1,1
P08,2026-06-29,P2,0.6679254187451267,1,1,5,4,4
P04,2026-06-16,P1,0.0,0,1,2,1,0
P04,2026-06-17,P1,0.0,1,0,0,0,0
P04,2026-06-18,P1,0.0,0,1,1,0,0
P04,2026-06-22,P2,0.0,0,1,2,1,1
P04,2026-06-23,P2,-0.011851707384322027,1,1,3,2,2
P04,2026-06-25,P2,0.42791254910528675,2,1,37,2,2
P04,2026-06-29,P2,0.49018193976917435,2,1,10,4,4
P10,2026-06-16,P1,0.0,0,1,85,4,4
P10,2026-06-17,P1,0.4783795114678209,8,1,172,11,11
P10,2026-06-18,P1,0.6714585131323043,12,1,2,2,2
P10,2026-06-22,P2,0.6970956059588096,2,1,1,1,1
P10,2026-06-23,P2,0.7666515130850869,1,1,2,2,2
P10,2026-06-25,P2,0.6768471581895965,3,1,37,7,7
P10,2026-06-29,P2,0.4139087050806192,7,1,1,1,1
P07,2026-06-16,P1,0.9857953672276616,0,1,4,3,3
P07,2026-06-17,P1,0.9007245036522559,3,1,1,1,1
P07,2026-06-18,P1,0.9007245036522559,1,0,0,0,0
P07,2026-06-22,P2,0.9007245036522559,0,1,1,1,1
P07,2026-06-23,P2,0.9216551246497404,1,0,0,0,0
P07,2026-06-25,P2,0.9216551246497404,0,1,1,1,1
P07,2026-06-29,P2,0.9216551246497404,1,1,2,2,2
P09,2026-06-16,P1,0.0,0,1,6,1,1
P09,2026-06-17,P1,-0.006535921346611406,2,0,0,0,0
P09,2026-06-18,P1,-0.006535921346611406,0,1,1,1,1
P09,2026-06-22,P2,0.24509805899004145,1,1,1,1,1
P09,2026-06-23,P2,0.21240293965431795,1,0,0,0,0
P09,2026-06-25,P2,0.21240293965431795,0,0,0,0,0
P09,2026-06-29,P2,0.21240293965431795,0,0,0,0,0
P12,2026-06-16,P1,0.0,0,1,1,1,1
P12,2026-06-17,P1,1.0,1,0,0,0,0
P12,2026-06-18,P1,1.0,0,1,3,3,3
P12,2026-06-22,P2,1.0,4,1,1,1,1
P12,2026-06-23,P2,0.8918344348735282,1,1,3,3,3
P12,2026-06-25,P2,0.7529507978592157,3,1,83,3,3
P12,2026-06-29,P2,0.5835599433762572,3,0,0,0,0
P11,2026-06-16,P1,0.0,0,1,15,3,3
P11,2026-06-17,P1,-0.008358022299077504,3,1,2,2,2
P11,2026-06-18,P1,-0.012884275087383008,2,1,43,1,1
P11,2026-06-22,P2,-0.03423203275846029,3,0,0,0,0
P11,2026-06-23,P2,-0.03423203275846029,0,0,0,0,0
P11,2026-06-25,P2,-0.03423203275846029,0,0,0,0,1
P11,2026-06-29,P2,0.21951028776150341,1,0,0,0,0
P13,2026-06-16,P1,0.0,0,1,5,2,2
P13,2026-06-17,P1,1.0,2,1,6,3,3
P13,2026-06-18,P1,0.7835900351983803,3,1,6,4,4
P13,2026-06-22,P2,0.6807297779287926,4,0,0,0,0
P13,2026-06-23,P2,0.6807297779287926,0,0,0,0,0
P13,2026-06-25,P2,0.6807297779287926,0,1,2,2,2
P13,2026-06-29,P2,0.8148441632412471,2,1,62,1,1
P14,2026-06-16,P1,0.0,0,0,0,0,0
P14,2026-06-17,P1,0.0,0,0,0,0,0
P14,2026-06-18,P1,0.0,0,1,23,1,1
P14,2026-06-22,P2,0.09202022390762997,2,0,0,0,0
P14,2026-06-23,P2,0.09202022390762997,0,0,0,0,0
P14,2026-06-25,P2,0.09202022390762997,0,0,0,0,0
P14,2026-06-29,P2,0.09202022390762997,0,0,0,0,0
