model,cluster,n,odds_ratio,lo,hi,p
unadjusted,person,194,5.319674472932552,2.9079089996967133,9.731713234809522,5.831678032543368e-08
unadjusted,run,217,4.270263029639817,2.5931399468667857,7.032071818700572,1.1696967267376594e-08
+ social state at approach,person,194,inf,inf,inf,0.0
+ social state at approach,run,217,5.142217656901185,3.034235761969626,8.714682874142133,1.1729090360997223e-09
+ trigger mode,person,194,5.439385051117308,2.8392668204546743,10.42061616793749,3.2902058339818904e-07
+ trigger mode,run,217,5.147608611025647,3.0601181232271064,8.659101820671404,6.618119982945134e-10
+ phase,person,194,5.439442604918408,2.7211768397879412,10.873066174746395,1.644771007888026e-06
+ phase,run,217,,,,
+ prior interaction count,person,194,5.2529909538555515,2.480053215286364,11.126339463688515,1.4781341786257187e-05
+ prior interaction count,run,194,,,,
