person_id,n_forks,rethread_final,mem_stored,abs_diff,evlog_updates,mem_updates,updates_conserved,fork_spread
P01,1,0.7129992348569462,0.7129992348569462,0.0,37,37,True,0.0
P02,1,0.47959904922554336,0.47959904922554336,0.0,7,7,True,0.0
P03,1,0.0406209378921924,0.0406209378921924,0.0,8,8,True,0.0
P04,1,0.5635211254964181,0.5635211254964181,0.0,8,8,True,0.0
P05,1,0.054736498934824976,0.054736498934824976,0.0,3,3,True,0.0
P07,1,0.9216551246497404,0.9216551246497404,0.0,4,4,True,0.0
P08,1,0.7027717917818028,0.7027717917818028,0.0,16,16,True,0.0
P09,1,0.21240293965431795,0.21240293965431795,0.0,4,4,True,0.0
P11,1,0.21951028776150341,0.21951028776150341,0.0,4,4,True,0.0
P12,1,0.5835599433762572,0.5835599433762572,0.0,7,7,True,0.0
P13,1,0.8148441632412471,0.8148441632412471,0.0,9,9,True,0.0
P14,1,0.09202022390762997,0.09202022390762997,0.0,2,2,True,0.0
P06,2,0.9298749680078975,,,14,14,True,0.9298749680078975
P10,3,0.34988717517378914,,,29,29,True,0.6756345277864444
